Name,CategoryId,FactionId,CrateAmount,Description,WeaponType,AmmunitionId,WeaponProperties,Image
Argenti r.II Rifle,1,1,20,The primary infantry rifle of the Colonial Legion. Its predecessor The Volta Repeater was a sturdy reliable firearm but had many limitations namely fire rate. The Argenti solves this limitation as well as being more compact and lightweight.,0,10,1,weapons/argenti.webp
"The Pitch Gun" mc.V,1,1,20,This classic submachine gun is sturdy and irreplaceable as a general tool for close-range engagements. The Pitch Gun earned its namesake from Mesean sailors who employed the weapon to successfully defend against a night raid on the Geraston docks.,8,13,3,weapons/pitch_gun.webp
Cometa T2-9,1,1,30,The Cometa T2-9 boasts remarkable stopping power for a sidearm. This Estrellan mainstay has lived through several generations due to its fine craftsmanship and design.,5,14,0,weapons/cometa.webp
KRF1-750 Dragonfly,1,1,20,A short-range firearm that has origins in both sport shooting and bird hunting. Its long stock and sturdy undercarriage give the Dragonfly stability and control that make it a worthy companion to many Kraunian soldiers deployed in urban centres. Dismantling haphazard barricades and clearing tight rooms are paltry tasks for the KRF1-750 Dragonfly.,6,14,0,weapons/dragonfly.webp
"Dusk" ce.III,1,1,20,This unique assault rifle includes a high-capacity drum magazine designed for sustained suppressive fire.,3,11,0,weapons/dusk.webp
Catara mo.II,1,1,20,A titanic light machine gun capable of scattering infantry lines with ease the Catara is a modern weapon for the modern colonial.,9,16,5,weapons/catara.webp
"Typhon" ra.XI,2,1,5,This mounted anti-tank rifle boasts improved accuracy over its free-standing counterparts. The Typhon was specifically designed with shock absorption in mind allowing for faster more consistent firing patterns.,11,18,8;5;9;7;10,weapons/typhon.webp
Daucus isg.III,2,1,5,This heavy infantry cannon requires a tripod for stability. The Daucus is designed to give infantry a foothold against enemy vehicles and light fortifications or establish fortified garrisons.,12,17,8;10;11;12,weapons/daucus.webp
KRN886-127 Gast Machine Gun,1,1,5,The Gast is a deadly but cumbersome Kraunian heavy machine gun. It is best suited to holding and defending established fortifications or garrisoned structures against encroaching infantry.,10,16,6,weapons/gast.webp
Catena rt.IV Auto-Rifle,1,1,15,An auto-firing rifle that played a pivotal role in maintaining Mesean interests on the Katoman continent. While not quite as rapid-firing as its assault rifle bretheren many soldiers speak fondly of the Catena as a sturdy easy-to-use and reliable firearm. It doesn't boast high points in any particular area but performs admirably as a general-purpose rifle.,0,10,,weapons/catena.webp
Volta r.I Repeater,1,1,15,An old war Mesean rifle. It boasts high stopping power but not as accurate as its modern variant. A weapon of legend the Howling Lions wielded the Volta during their raid on the beaches of Fisherman’s Row.,2,10,21,weapons/volta.webp
Fuscina pi.I,1,1,20,This unique rifle fires three rounds in rapid succession. The Fuscina is the first of its kind, designed for laying down suppressive fire during assaults on fortified enemy entrenchments.,0,10,1;15,weapons/fuscina.webp
KRR2-790 Omen,1,1,15,An older but reliable model of Kraunian long rifle. The Omen is a sturdy simple weapon best used in long-distance skirmishes.,1,10,1,weapons/omen.webp
KRR3-792 Auger,1,1,5,A Kraunian rifle modified for long-range engagements. It doesn’t have the range or stopping power of other marksman rifles but more than makes up for it with unmatched reliability in a range of environments and a superior effective rate of fire.,7,10,18;22,weapons/auger.webp
"Lionclaw" mc.VIII,1,1,20,A heavier modern variation of the Pitch Gun the Lionclaw performs well as a decent all-around submachine gun designed as a primary firearm in urban and close-quarters combat operations.,8,13,,weapons/lionclaw.webp
Venom c.II 35,2,1,5,The Venom RPG launcher fires anti-tank charges. Its simple design makes it easy to deploy even in high-stakes operations.,14,41,11;12;19,weapons/venom.webp
Bane 45,2,1,5,This shoulder-mounted heavy launcher is the first of its kind. It features heavy blast shielding and is capable of launching anti-tank charges over relatively large distances.,14,41,11;12;19,weapons/bane.webp
Lamentum mm.IV,2,1,5,Built on the bones of the first automatic weapons introduced to the Legion the “Lamentum” mm.IV is still quite an intimidating force to encounter on the battlefield. Boasting a large magazine and impressive active range this mounted machinegun excels at laying down consistent suppressive fire.,16,16,6;8;10;23,weapons/lamentum.webp
